,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1145,14382622,Furnished University of Chicago Luxury Duplex,48388991,La,,Woodlawn,41.77438,-87.59205,Entire home/apt,64,30,1,2017-12-16,0.03,1,310
3168,29784793,Remodel Clean One Bedroom w/Parking & Laundry,224089876,Dominik,,Belmont Cragin,41.93736,-87.78461,Entire home/apt,50,31,2,2020-09-01,0.14,2,364
6183,44890921,Streeterville Luxury Studio Apartment,10292374,Elsa,,Loop,41.89022,-87.61699,Entire home/apt,60,81,0,,,1,358
3713,34201647,Cute and Cozy Bronzeville Garden Apartment,193524050,Maria,,Grand Boulevard,41.81855,-87.61683,Entire home/apt,175,3,9,2019-10-20,0.57,1,180
3461,32501089,Newly renovated urban loft in the Gold Coast,231516337,Nick,,Near North Side,41.905,-87.62879,Entire home/apt,150,180,1,2019-03-10,0.05,1,0
1408,16751723,Bijou Bolt-Hole a Walk from Wrigley Field and Lake Michigan,111141909,R. Neil,,Uptown,41.95711,-87.65479,Entire home/apt,112,2,57,2020-06-24,1.55,1,177
2806,27439525,Comfort  zone,206783790,Oscar,,North Center,41.93813,-87.67508,Entire home/apt,100,1,65,2020-09-06,2.52,1,350
600,7572706,Wrigleyville Private Guesthouse,39699805,Mark,,Lake View,41.94418,-87.66084,Entire home/apt,264,2,69,2020-09-20,1.11,1,357
861,11256815,"Charm on the park, fully upgraded",50732175,Jen,,Lake View,41.94292,-87.67334,Entire home/apt,143,5,83,2019-10-22,1.54,1,132
4560,38702660,Newly Renovated APT 20 Mins from Downtown Chicago!,230539652,Marzena,,Portage Park,41.94644,-87.77231,Entire home/apt,80,1,20,2020-09-13,2.5,1,312
1279,15552589,Spacious 2 bed/2 bath in Logan Square,57875975,Peggy,,Logan Square,41.92705,-87.71256,Entire home/apt,150,2,74,2020-02-16,1.56,1,21
853,11146814,Matt's Park Place,22215535,Matt,,Lower West Side,41.85563,-87.67217,Entire home/apt,107,10,209,2019-10-28,3.75,3,66
1555,18387756,Chic Home! Walk to Nightlife-Comedy-Restaurants!,52879705,Jackie,,Lincoln Park,41.91618,-87.63608,Entire home/apt,105,2,172,2020-09-06,4.16,1,60
1023,13165625,LUXURY STAY IN CHICAGO DOWNTOWN River North,49626033,Roma,,Near North Side,41.88895,-87.63364,Entire home/apt,110,31,1,2018-06-21,0.04,27,365
1777,20148895,Townhouse with Beautiful River View,11162257,Lisa,,Logan Square,41.93295,-87.68483,Entire home/apt,200,365,0,,,1,365
3867,34970066,The Equality #5 McCormick-Wintrust | 2bd/2ba +gym,98193524,JW+Family,,Near South Side,41.85386,-87.62503,Entire home/apt,105,2,43,2020-08-31,2.74,20,157
1125,14144295,"Explore the City from an Elegant, Urban Retreat",41767444,Mar & De,,West Town,41.89184,-87.65774,Entire home/apt,126,2,216,2020-09-13,4.28,4,351
